id$$国标ID,name$$名称,direction$$方向 1-上行 2-下行,dir_name$$道路方向,region_id$$所在地市编码,region_name$$所在地市名称,lat$$纬度,lng$$经度,opma_road_id$$所属高速公路路线编码（运营业务）,opma_road_name$$所属高速公路路线名称（运营业务）,opma_clique_id$$所属集团公司编码,opma_clique_name$$所属集团公司名称,opma_manager_corp_id$$所属管理公司编码,opma_manager_corp_name$$所属管理公司名称,opma_manager_id$$所属运管单位编码,opma_manager_name$$所属运管单位名称,stake_num$$桩号,hex_code$$hex编码,reverse_gantry_hex$$反向门架的hex编码,"work_mode$$工作模式 1-路段门架,2-省界入口门架,3-省界出口门架,4-虚拟门架"
G251637001000110010,济东东港立交-盐窝虚收费门架,1,吕梁方向,370500,东营,37.64745500000000000,118.51081400000000000,G251637,G2516东吕高速,YG1,山东高速集团,YG108,山东高速东营发展有限公司,YG10801,东营分公司,K004+950,3C3607,3D3608,1
G001537009000220020,沈海日照疏港枢纽-日照机场虚收费门架,2,日照机场方向,371100,日照,35.39826700000000000,119.38183400000000000,S009037,S90日照机场连接线,YG1,山东高速集团,YG115,山东高速日照发展有限公司,YG115  ,山东高速日照发展有限公司,K002+350,3D2210,3C220F,1
S001737001000520050,大辛店虚-蓬莱枢纽收费门架,2,蓬莱方向,370600,烟台,37.59550700000000000,120.90684500000000000,S001737,S17蓬栖高速,YG1,山东高速集团,YG119,山东高速烟台发展有限公司,YG119  ,山东高速烟台发展有限公司,K021+570,3D6805,3C6802,1
G002237010000810070,泰安东虚-泰安南虚收费门架,1,兰州方向,370900,泰安,36.14400000000000000,117.15300000000000000,G002237,G22青兰高速,YG1,山东高速集团,YG116,山东高速泰安发展有限公司,YG116  ,山东高速泰安发展有限公司,K353+610,3C900E,3D900F,1
G002237010000910080,泰安南虚-泰山枢纽收费门架,1,兰州方向,370900,泰安,36.14200000000000000,117.08100000000000000,G002237,G22青兰高速,YG1,山东高速集团,YG116,山东高速泰安发展有限公司,YG116  ,山东高速泰安发展有限公司,K360+250,3C9010,3D9011,1
G002237010001520140,角峪虚-高庄虚收费门架,2,青岛方向,370900,泰安,36.16400000000000000,117.44800000000000000,G002237,G22青兰高速,YG1,山东高速集团,YG116,山东高速泰安发展有限公司,YG116  ,山东高速泰安发展有限公司,K326+225,3D9007,3C8F09,1
G000237004000820140,曹范虚-彩石虚收费门架,2,北京方向,370100,济南,36.61328700000000000,117.36191900000000000,G000237,G2京沪高速,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10108,京沪济南运管中心,K417+500,3D151B,3C1510,1
G000237004001110050,埠村虚-雪野虚收费门架,1,上海方向,370100,济南,36.46649100000000000,117.53177800000000000,G000237,G2京沪高速,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10108,京沪济南运管中心,K444+382,3C1530,3D1520,1
G002037006000310030,章丘虚-章丘西虚收费门架,1,银川方向,370100,济南,36.85033300000000000,117.47320000000000000,G002037,G20青银高速,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10109,济青济南运管中心,K304+000,3C0D0A,3D0D14,1
G002037005000310030,淄博高新区虚-淄博虚收费门架,1,银川方向,370300,淄博,36.85907500000000000,118.11186300000000000,G002037,G20青银高速,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10110,淄博运管中心,K244+900,3C0E03,3D0E0C,1
G002037005001320130,淄博西枢纽-淄博虚收费门架,2,青岛方向,370300,淄博,36.85693700000000000,118.01865000000000000,G002037,G20青银高速,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10110,淄博运管中心,K253+220,3D0E0B,3C0E04,1
G002037005002810020,邹平西虚-章丘虚收费门架,1,银川方向,370100,济南,36.88655900000000000,117.68788500000000000,G002037,G20青银高速,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10110,淄博运管中心,K299+750,3C0D23,3D0D22,1
G002037004000920090,青州西虚-于家庄枢纽收费门架,2,青岛方向,370700,潍坊,36.80400400000000000,118.53236700000000000,G002037,G20青银高速,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10111,潍坊运管中心,K206+210,3D1013,3C1010,1
G002037004001120110,青州东虚-寿光虚收费门架,2,青岛方向,370700,潍坊,36.76263900000000000,118.70225600000000000,G002037,G20青银高速,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10111,潍坊运管中心,K190+150,3D1017,3C100E,1
G002037003000510050,潍坊西虚-于河枢纽收费门架,1,银川方向,370700,潍坊,36.74991700000000000,118.99066700000000000,G002037,G20青银高速,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10111,潍坊运管中心,K164+230,3C1005,3D1008,1
G002037003001120110,潍坊东虚-涌泉枢纽收费门架,2,青岛方向,370700,潍坊,36.71100700000000000,119.25725900000000000,G002037,G20青银高速,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10111,潍坊运管中心,K139+230,3D100B,3C1002,1
G002037002000210020,高密虚-高密西虚收费门架,1,银川方向,370700,潍坊,36.47027600000000000,119.76539700000000000,G002037,G20青银高速,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10112,青岛运管中心,K084+870,3C120C,3D120F,1
G002037002000620060,高密虚-胶州虚收费门架,2,青岛方向,370200,青岛,36.41317000000000000,119.96176500000000000,G002037,G20青银高速,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10112,青岛运管中心,K065+900,3D1210,3C120B,1
G002037001000310020,王演庄枢纽-蓝村虚收费门架,1,银川方向,370200,青岛,36.40790800000000000,120.22424100000000000,G002037,G20青银高速,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10112,青岛运管中心,K041+820,3C1202,3D1209,1
G002037001000410030,蓝村虚-机场北枢纽收费门架,1,银川方向,370200,青岛,36.42049500000000000,120.15175400000000000,G002037,G20青银高速,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10112,青岛运管中心,K048+670,3C1203,3D1211,1
G001837016001020080,南黄虚-威海南海虚收费门架,2,威海方向,371000,威海,37.04378300000000000,121.89714700000000000,G181337,G1813威青高速,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10116,威海运管中心,K036+650,3D040D,3C0405,1
G001837016001320110,文登虚-文登北虚收费门架,1,乌海方向,371000,威海,37.18203900000000000,122.01367800000000000,G001837,G18荣乌高速,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10116,威海运管中心,K053+700,3D0410,3C0402,1
G201137004000710070,明村虚-明村枢纽收费门架,1,潍坊方向,370200,青岛,36.76352300000000000,119.61346400000000000,S001637,S16荣潍高速,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10113,潍莱运管中心,K261+300,3C0107,3D0108,1
S001637002000620060,涌泉枢纽-朱里虚收费门架,2,荣成方向,370700,潍坊,36.73967900000000000,119.37353000000000000,S001637,S16荣潍高速,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10113,潍莱运管中心,K283+100,3D0306,3C0303,1
S001637002000820080,石埠虚-明村枢纽收费门架,2,荣成方向,370700,潍坊,36.74960505000000000,119.49854300000000000,S001637,S16荣潍高速,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10113,潍莱运管中心,K271+700,3D0308,3C0301,1
G000337001000820090,平原南虚-平原虚收费门架,2,北京方向,371400,德州,37.19978966000000000,116.50479250000000000,G000337,G3京台高速,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10101,德州运管中心,K336+800,3D0512,3C0510,1
G000337005000410010,齐河虚-晏城枢纽收费门架,1,台北方向,371400,德州,36.83383100000000000,116.77093600000000000,G000337,G3京台高速,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10101,德州运管中心,K390+350,3C060B,3D060C,1
G000337004000310030,天桥虚-槐荫枢纽收费门架,1,广州方向,370100,济南,36.72110100000000000,116.90443400000000000,G003537,G35济广高速,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10103,京台济南运管中心,K035+050,3C0703,3D0704,1
G000337004000510070,国际医学中心-济南西收费门架,2,逆时针方向,370100,济南,36.67828500000000000,116.87925300000000000,G200137,G2001济南绕城高速,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10103,京台济南运管中心,K068+000,3C071C,3D0715,1
G000337004001620200,槐荫枢纽-天桥虚收费门架,2,济南方向,370100,济南,36.72115400000000000,116.90147500000000000,G003537,G35济广高速,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10103,京台济南运管中心,K035+400,3D0704,3C0703,1
G000337004001720210,天桥虚-济南北虚收费门架,2,济南方向,370100,济南,36.72357300000000000,116.95817800000000000,G003537,G35济广高速,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10103,京台济南运管中心,K030+050,3D0705,3C0702,1
G001837012000110010,垦利虚-垦利北虚收费门架,1,乌海方向,370500,东营,37.55633600000000000,118.60628300000000000,G001837,G18荣乌高速,YG1,山东高速集团,YG108,山东高速东营发展有限公司,YG10802,山东东青公路有限公司,K494+400,3C2E01,3D2E0C,1
G001837012001820140,李庄虚-辛庄子枢纽收费门架,2,荣成方向,370500,东营,37.22967700000000000,118.58919000000000000,G001837,G18荣乌高速,YG1,山东高速集团,YG108,山东高速东营发展有限公司,YG10802,山东东青公路有限公司,K457+650,3D2E08,3C2E05,1
G002537001000810080,大王虚-阳河虚收费门架,1,深圳方向,370500,东营,36.95600800000000000,118.54070700000000000,G002537,G25长深高速,YG1,山东高速集团,YG108,山东高速东营发展有限公司,YG10802,山东东青公路有限公司,K1395+200,3C2F04,3D2F06,1
G002537001001010090,阳河虚-何官虚收费门架,1,深圳方向,370700,潍坊,36.89456400000000000,118.54586900000000000,G002537,G25长深高速,YG1,山东高速集团,YG108,山东高速东营发展有限公司,YG10802,山东东青公路有限公司,K1402+100,3C2F07,3D2F03,1
G002537001001320200,于家庄枢纽-何官虚收费门架,2,长春方向,370700,潍坊,36.81424600000000000,118.54655800000000000,G002537,G25长深高速,YG1,山东高速集团,YG108,山东高速东营发展有限公司,YG10802,山东东青公路有限公司,K1410+950,3D2F01,3C2F02,1
G002537001001710190,何官虚-于家庄枢纽收费门架,1,深圳方向,370700,潍坊,36.81486500000000000,118.54647100000000000,G002537,G25长深高速,YG1,山东高速集团,YG108,山东高速东营发展有限公司,YG10802,山东东青公路有限公司,K1411+000,3C2F02,3D2F01,1
G002537001001820100,何官虚-阳河虚收费门架,2,长春方向,370700,潍坊,36.89365000000000000,118.54597400000000000,G002537,G25长深高速,YG1,山东高速集团,YG108,山东高速东营发展有限公司,YG10802,山东东青公路有限公司,K1402+150,3D2F03,3C2F07,1
G001837010000310010,垦利北虚-东港枢纽收费门架,1,乌海方向,370500,东营,37.59419900000000000,118.60661900000000000,G001837,G18荣乌高速,YG1,山东高速集团,YG108,山东高速东营发展有限公司,YG10803,东营黄河大桥公司,K498+650,3C3701,3D3702,1
G001837010000620020,东港枢纽-垦利北虚收费门架,2,荣成方向,370500,东营,37.59431300000000000,118.60646300000000000,G001837,G18荣乌高速,YG1,山东高速集团,YG108,山东高速东营发展有限公司,YG10803,东营黄河大桥公司,K498+700,3D3702,3C3701,1
G003537001000620090,东平虚-平阴南虚收费门架1,2,济南方向,370900,泰安,35.93778800000000000,116.40920800000000000,G003537,G35济广高速,YG1,山东高速集团,YG102,齐鲁高速公路股份有限公司,YG10201,济菏运管中心,K145+110,3D3B08,3C3B13,1
G003537001000820100,东济济广枢纽-东平虚收费门架,2,济南方向,370900,泰安,35.92308700000000000,116.41393300000000000,G003537,G35济广高速,YG1,山东高速集团,YG102,齐鲁高速公路股份有限公司,YG10201,济菏运管中心,K146+800,3D3B0A,3C3B11,1
G003537001001610150,梁山虚-嘉祥西虚收费门架,1,广州方向,370800,济宁,35.68053400000000000,116.22050500000000000,G003537,G35济广高速,YG1,山东高速集团,YG102,齐鲁高速公路股份有限公司,YG10201,济菏运管中心,K180+008,3C3B0F,3D3B0C,1
G003537001002310210,平阴虚-孔村枢纽收费门架,1,广州方向,370100,济南,36.26540900000000000,116.48452000000000000,G003537,G35济广高速,YG1,山东高速集团,YG102,齐鲁高速公路股份有限公司,YG10201,济菏运管中心,K106+900,3C3B15,3D3B06,1
G003537001003420260,长清大学城虚-殷家村枢纽收费门架,2,济南方向,370100,济南,36.47614500000000000,116.72025000000000000,G003537,G35济广高速,YG1,山东高速集团,YG102,齐鲁高速公路股份有限公司,YG10201,济菏运管中心,K059+000,3D3B30,3C3B2F,1
G003537001003510270,长清大学城虚-长清虚收费门架,1,广州方向,370100,济南,36.47614500000000000,116.72025000000000000,G003537,G35济广高速,YG1,山东高速集团,YG102,齐鲁高速公路股份有限公司,YG10201,济菏运管中心,K070+000,3C3B31,3D3B32,1
G032137004000410040,田庄枢纽-莘县北虚收费门架,1,上饶方向,371500,聊城,36.28106000000000000,115.76066900000000000,G032137,G0321德上高速,YG1,山东高速集团,YG102,齐鲁高速公路股份有限公司,YG10202,德莘运管中心,K167+930,3C5A03,3D5A10,1
G032137004001020200,德商鲁豫北界-莘县古城虚收费门架,2,德州方向,371500,聊城,35.91892700000000000,115.60668900000000000,G032137,G0321德上高速,YG1,山东高速集团,YG102,齐鲁高速公路股份有限公司,YG10202,德莘运管中心,K212+770,3F5A0A,3E5A08,2
G032137004001120110,莘县古城虚-莘县南虚收费门架,2,德州方向,371500,聊城,35.94668500000000000,115.60513200000000000,G032137,G0321德上高速,YG1,山东高速集团,YG102,齐鲁高速公路股份有限公司,YG10202,德莘运管中心,K208+740,3D5A0C,3C5A07,1
G032137004001220120,莘县南虚-十八里铺立交收费门架,2,德州方向,371500,聊城,36.09653800000000000,115.64719200000000000,G032137,G0321德上高速,YG1,山东高速集团,YG102,齐鲁高速公路股份有限公司,YG10202,德莘运管中心,K191+300,3D5A0D,3C5A06,1
G002237005000510050,红石崖虚-黄岛枢纽收费门架,1,兰州方向,370200,青岛,36.07723200000000000,120.09220500000000000,G002237,G22青兰高速,YG1,山东高速集团,YG114,山东高速青岛发展有限公司,YG11402,山东高速青岛公路有限公司,K059+150,3C7805,3D7808,1
S008537001000610030,海湾大桥胶州连接界-黄岛枢纽收费门架,1,黄岛方向,370200,青岛,36.08823400000000000,120.12670700000000000,S008537,S85胶州湾大桥,YG1,山东高速集团,YG114,山东高速青岛发展有限公司,YG11402,山东高速青岛公路有限公司,K059+385,3C4706,3D4707,1
G032137006000910050,鄄城南虚-菏泽北虚收费门架,1,上饶方向,371700,菏泽,35.42436000000000000,115.62993300000000000,G032137,G0321德上高速,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10117,菏泽运管中心,K268+200,3C5C13,3D5C12,1
S001937004000110010,龙港南立交-招远玲珑虚收费门架,1,青岛方向,370600,烟台,37.42187600000000000,120.43030900000000000,S001937,S19龙青高速,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10113,潍莱运管中心,K027+800,3C6C01,3D6C0A,1
G181537001000210020,潍城西虚-潍坊南虚收费门架,1,日照方向,370700,潍坊,36.62529900000000000,118.95517700000000000,G181537,G1815潍日高速,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10114,潍日运管中心,K047+550,3C6702,3D6720,1
G181537001000410040,昌乐南虚-安丘南虚收费门架,1,日照方向,370700,潍坊,36.47151100000000000,119.12791500000000000,G181537,G1815潍日高速,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10114,潍日运管中心,K071+100,3C6704,3D6717,1
G181537001001410130,陈疃北虚-陈疃枢纽收费门架,1,日照方向,371100,日照,35.50343000000000000,119.29551200000000000,G181537,G1815潍日高速,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10114,潍日运管中心,K183+200,3C670D,3D670E,1
G181537001002520230,安丘南虚-昌乐南虚收费门架,2,潍坊港方向,370700,潍坊,36.47103800000000000,119.12861600000000000,G181537,G1815潍日高速,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10114,潍日运管中心,K071+150,3D6717,3C6704,1
G181537001004010010,潍坊南虚-营丘枢纽收费门架,1,日照方向,370700,潍坊,36.59883900000000000,118.97885900000000000,G181537,G1815潍日高速,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10114,潍日运管中心,K050+644,3C673E,3D673F,1
G151137004000110010,曹州枢纽-菏泽新区虚收费门架,1,兰考方向,371700,菏泽,35.24519500000000000,115.60195100000000000,G151137,G1511日兰高速,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10117,菏泽运管中心,K373+700,3C0C01,3D0C0E,1
G151137004000210020,菏泽新区虚-菏泽南虚收费门架,1,兰考方向,371700,菏泽,35.20988800000000000,115.58284200000000000,G151137,G1511日兰高速,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10117,菏泽运管中心,K378+000,3C0C02,3D0C0D,1
G151137004000510060,曹县西虚-日兰鲁豫收费门架,1,兰考方向,371700,菏泽,35.01360500000000000,115.13493000000000000,G151137,G1511日兰高速,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10117,菏泽运管中心,K425+650,3E0C06,3F0C09,3
G151137004001020140,菏泽新区虚-曹州枢纽收费门架,2,日照方向,371700,菏泽,35.24202200000000000,115.60122800000000000,G151137,G1511日兰高速,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10117,菏泽运管中心,K374+000,3D0C0E,3C0C01,1
G000237008000210150,遥墙虚-机场枢纽收费门架,1,顺时针方向,370100,济南,36.81273300000000000,117.19057800000000000,G200137,G2001济南绕城高速,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10109,济青济南运管中心,K119+000,3C6512,3D6511,1
G000237008000520050,济乐青银立交-起步区大桥虚收费门架,2,逆时针方向,370100,济南,36.84326000000000000,117.02024300000000000,G200137,G2001济南绕城高速,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10109,济青济南运管中心,K103+100,3D6505,3C650C,1
G000237008000620060,起步区大桥虚-表白寺枢纽收费门架,2,逆时针方向,370100,济南,36.84208600000000000,116.97846700000000000,G200137,G2001济南绕城高速,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10109,济青济南运管中心,K099+500,3D6506,3C650B,1
G000237008000720070,表白寺枢纽-齐河东虚收费门架,2,逆时针方向,370100,济南,36.80080100000000000,116.87471700000000000,G200137,G2001济南绕城高速,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10109,济青济南运管中心,K088+000,3D6507,3C650A,1
G000237008001110090,晏城枢纽-齐河东虚收费门架,1,顺时针方向,371400,德州,36.78550000000000000,116.83398400000000000,G200137,G2001济南绕城高速,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10109,济青济南运管中心,K084+100,3C6509,3D6508,1
G000237008001510130,济乐青银立交-起步区崔寨虚收费门架,1,顺时针方向,370100,济南,36.84382900000000000,117.10303100000000000,G200137,G2001济南绕城高速,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10109,济青济南运管中心,K109+900,3C650D,3D6504,1
S003837001001420140,峄城东虚-兰陵西虚收费门架,2,岚山方向,370400,枣庄,34.81358800000000000,117.78926900000000000,S003837,S38岚菏高速,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10106,枣庄运管中心,K156+400,3D4C04,3C4C03,1
S003837001001620160,兰陵北虚-临枣京沪枢纽收费门架,2,岚山方向,371300,临沂,34.91276400000000000,118.13698800000000000,S003837,S38岚菏高速,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10106,枣庄运管中心,K121+800,3D4C06,3C4C01,1
S003837002000510040,峄城东虚-峨山枢纽收费门架,1,菏泽方向,370400,枣庄,34.81581500000000000,117.75629700000000000,S003837,S38岚菏高速,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10106,枣庄运管中心,K150+300,3C4C07,3D4C12,1
S003837002000610060,峄城南虚-峄城西虚收费门架,1,菏泽方向,370400,枣庄,34.72618600000000000,117.59122000000000000,S003837,S38岚菏高速,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10106,枣庄运管中心,K178+500,3C4C09,3D4C0E,1
S003837002000710070,峄城西虚-枣庄新城虚收费门架,1,菏泽方向,370400,枣庄,34.70697100000000000,117.41210200000000000,S003837,S38岚菏高速,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10106,枣庄运管中心,K195+450,3C4C0A,3D4C0D,1
S003837002001120110,峄城西虚-峄城南虚收费门架,2,岚山方向,370400,枣庄,34.72741300000000000,117.57426200000000000,S003837,S38岚菏高速,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10106,枣庄运管中心,K180+050,3D4C0E,3C4C09,1
G002237007000210020,泰肥虚-岱岳虚收费门架,1,兰州方向,370900,泰安,36.15016800000000000,117.01089000000000000,G002237,G22青兰高速,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10105,泰东运管中心,K367+340,3C6E02,3D6E11,1
G002237007001210060,肥城西虚-平阴孔村虚收费门架,1,兰州方向,370900,泰安,36.13974500000000000,116.55235800000000000,G002237,G22青兰高速,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10105,泰东运管中心,K410+590,3C6E06,3D6E0D,1
G002237007001510080,孔村枢纽-平阴玫瑰虚收费门架,1,兰州方向,370100,济南,36.21118500000000000,116.37413700000000000,G002237,G22青兰高速,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10105,泰东运管中心,K428+890,3C6E08,3D6E0B,1
S002937003000710070,博山北虚-博山虚收费门架,1,台儿庄方向,370300,淄博,36.55595500000000000,117.83822600000000000,S002937,S29滨台高速,YG1,山东高速集团,YG121,山东高速淄博发展有限公司,YG121  ,山东高速淄博发展有限公司,K095+590,3C310F,3D3110,1
S002937003002010100,苗山虚-莱芜枢纽收费门架,1,台儿庄方向,370100,济南,36.31528100000000000,117.77207200000000000,S002937,S29滨台高速,YG1,山东高速集团,YG110,山东高速济南发展有限公司,YG110  ,山东高速济南发展有限公司,K123+850,3C3209,3D320A,1
S002937003003720370,文昌湖虚-淄博新区虚收费门架,2,滨州方向,370300,淄博,36.76310000000000000,117.93824600000000000,S002937,S29滨台高速,YG1,山东高速集团,YG121,山东高速淄博发展有限公司,YG121  ,山东高速淄博发展有限公司,K069+700,3D3113,3C310C,1
G002237008000310030,李海务虚-朱老庄虚收费门架,1,兰州方向,371500,聊城,36.33833800000000000,115.95850700000000000,G002237,G22青兰高速,YG1,山东高速集团,YG112,山东高速聊城发展有限公司,YG112  ,山东高速聊城发展有限公司,K470+450,3C7903,3D790E,1
G002237008001220120,朱老庄虚-李海务虚收费门架,2,青岛方向,371500,聊城,36.33835100000000000,115.95795100000000000,G002237,G22青兰高速,YG1,山东高速集团,YG112,山东高速聊城发展有限公司,YG112  ,山东高速聊城发展有限公司,K470+500,3D790E,3C7903,1
S008337002000110010,峨山枢纽-税郭虚收费门架,1,滕州方向,370400,枣庄,34.83285800000000000,117.69131500000000000,S008337,S83枣庄连接线高速,YG1,山东高速集团,YG120,山东高速枣庄发展有限公司,YG120  ,山东高速枣庄发展有限公司,K004+655,3C7D05,3D7D02,1
S008337002000620020,枣庄东虚-税郭虚收费门架,2,兰陵方向,370400,枣庄,34.87680283120000000,117.63997119900000000,S008337,S83枣庄连接线高速,YG1,山东高速集团,YG120,山东高速枣庄发展有限公司,YG120  ,山东高速枣庄发展有限公司,K007+810,3D7D0A,3C7D09,1
G002537005000320010,辛庄子枢纽-广饶西虚收费门架,2,长春方向,370500,东营,37.22715900000000000,118.44047400000000000,G002537,G25长深高速,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10110,淄博运管中心,K1351+250,3D7E01,3C7E08,1
G001837003000410030,养马岛虚-烟海荣乌枢纽收费门架,1,乌海方向,370600,烟台,37.42327300000000000,121.57183400000000000,G001837,G18荣乌高速,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10115,烟台运管中心,K130+250,3C4F03,3D4F04,1
S001637003000310030,下初虚-午极虚收费门架,1,潍坊方向,371000,威海,37.06651300000000000,121.58700000000000000,S001637,S16荣潍高速,YG1,山东高速集团,YG117,山东高速威海发展有限公司,YG117  ,山东高速威海发展有限公司,K073+041,3C8510,3D8511,1
S003037002001520080,董梁鲁豫-杨营虚收费门架,2,董家口方向,370800,济宁,35.84469566340000000,115.90989983700000000,S003037,S30董梁高速,YG1,山东高速集团,YG111,山东高速济宁发展有限公司,YG111  ,山东高速济宁发展有限公司,K378+747,3F8718,3E8717,2
S003037002002820140,宁阳虚-磁窑枢纽收费门架,2,董家口方向,370900,泰安,35.82190600000000000,116.91318600000000000,S003037,S30董梁高速,YG1,山东高速集团,YG116,山东高速泰安发展有限公司,YG116  ,山东高速泰安发展有限公司,K288+877,3D870C,3C870B,1
