id$$主键，国标id,station_id$$省标ID,name$$简称,full_name$$全称,toll_plaza_count$$收费广场数量,lng$$经度,lat$$纬度,toll_station_lane_count$$收费站总车道数,toll_station_mtc_count_in$$mtc车道数（入口）,toll_station_etc_count_in$$etc专用车道（入口）,toll_station_etc_count_out$$etc专用车道（出口）,toll_station_mtc_count_out$$mtc专用车道（出口）,region_id$$所在地市编码,region_name$$所在地级市,opma_clique_id$$所属集团公司编码,opma_clique_name$$所属集团公司名称,opma_manager_corp_id$$所属管理公司编码,opma_manager_corp_name$$所属管理公司名称,opma_manager_id$$所属运管单位编码,opma_manager_name$$所属运管单位名称,opma_road_id$$所属高速公路路线编码（运营业务）,opma_road_name$$所属高速公路路线名称（运营业务）,opma_section_id$$None,opma_section_name$$None,opma_stake_num$$所在桩号（运营业务）,opma_stake_no$$所在桩号（保留3位小数）千米
G0003370030030,020407,邹城,山东邹城站,2.0,117.063329000000000,35.409318000000000,8.0,2.0,2.0,2.0,2.0,370800,济宁,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10104,泰安运管中心,G000337,G3京台高速,G00033708,G3京台高速济宁段,K554+000,554.000
G0003370040010,020302,天桥,山东天桥站,2.0,116.928369000000000,36.720000000000000,15.0,3.0,3.0,6.0,3.0,370100,济南,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10103,京台济南运管中心,G003537,G35济广高速,G00353701,G35济广高速济南段,K033+000,33.000
G0003370050010,020201,禹城,山东禹城站,2.0,116.680806920669000,36.969159621328600,8.0,2.0,2.0,2.0,2.0,371400,德州,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10101,德州运管中心,G000337,G3京台高速,G00033714,G3京台高速德州段,K367+352,367.352
G0003370050020,020202,齐河,山东齐河站,2.0,116.773526000000000,36.836863000000000,13.0,4.0,2.0,5.0,2.0,371400,德州,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10101,德州运管中心,G000337,G3京台高速,G00033714,G3京台高速德州段,K385+011,385.011
G0003370080070,020507,微山湖,山东微山湖站,4.0,117.312651000000000,34.708798000000000,8.0,2.0,2.0,2.0,2.0,370400,枣庄,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10106,枣庄运管中心,G000337,G3京台高速,G00033704,G3京台高速枣庄段,K637+124,637.124
G0015370010060,090107,莱阳,山东莱阳站,2.0,120.630497000000000,37.135424000000000,5.0,1.0,1.0,1.0,2.0,370600,烟台,YG1,山东高速集团,YG119,山东高速烟台发展有限公司,YG119  ,山东高速烟台发展有限公司,G001537,G15沈海高速,G00153706,G15沈海高速烟台段,K489+923,489.923
G0015370020010,100101,河头店,山东河头店站,2.0,120.563337000000000,37.022255000000000,4.0,1.0,1.0,1.0,1.0,370200,青岛,YG1,山东高速集团,YG114,山东高速青岛发展有限公司,YG11401,山东高速青岛发展有限公司运营管理事业部,G001537,G15沈海高速,G00153702,G15沈海高速青岛段,K503+497,503.497
G0015370070010,080105,日照北,山东日照北站,2.0,119.476023000000000,35.478027000000000,12.0,2.0,2.0,5.0,3.0,371100,日照,YG1,山东高速集团,YG115,山东高速日照发展有限公司,YG115  ,山东高速日照发展有限公司,G001537,G15沈海高速,G00153711,G15沈海高速日照段,K713+106,713.106
G0015370080060,090206,八角,山东八角站,2.0,121.102872000000000,37.649934000000000,5.0,1.0,1.0,1.0,2.0,370600,烟台,YG1,山东高速集团,YG119,山东高速烟台发展有限公司,YG119  ,山东高速烟台发展有限公司,S740237,S7402烟台西港区疏港高速,S74023706,S7402烟台西港区疏港高速,K008+200,8.200
G0018370050030,090303,黄城,山东黄城站,2.0,120.500337000000000,37.616426000000000,8.0,2.0,1.0,3.0,2.0,370600,烟台,YG1,山东高速集团,YG119,山东高速烟台发展有限公司,YG119  ,山东高速烟台发展有限公司,G001837,G18荣乌高速,G00183706,G18荣乌高速烟台段,K236+060,236.060
G0018370060030,090403,莱州东,山东莱州东站,2.0,120.063880000000000,37.227320000000000,4.0,1.0,1.0,1.0,1.0,370600,烟台,YG1,山东高速集团,YG119,山东高速烟台发展有限公司,YG119  ,山东高速烟台发展有限公司,G001837,G18荣乌高速,G00183706,G18荣乌高速烟台段,K296+000,296.000
G0018370060040,090404,莱州,山东莱州站,2.0,119.935080000000000,37.133518000000000,8.0,2.0,1.0,3.0,2.0,370600,烟台,YG1,山东高速集团,YG119,山东高速烟台发展有限公司,YG119  ,山东高速烟台发展有限公司,G001837,G18荣乌高速,G00183706,G18荣乌高速烟台段,K312+000,312.000
G0018370130020,120102,滨城,山东滨城站,2.0,117.906382000000000,37.414164000000000,5.0,1.0,1.0,1.0,2.0,371600,滨州,YG1,山东高速集团,YG106,山东高速滨州发展有限公司,YG106  ,山东高速滨州发展有限公司,G002537,G25长深高速,G00253716,G25长深高速滨州段,K1284+650,1284.650
G0018370130050,120105,滨州南,山东滨州南站,2.0,117.931572000000000,37.300341000000000,6.0,2.0,1.0,1.0,2.0,371600,滨州,YG1,山东高速集团,YG106,山东高速滨州发展有限公司,YG106  ,山东高速滨州发展有限公司,G002537,G25长深高速,G00253716,G25长深高速滨州段,K1298+100,1298.100
G0018370150010,100201,灰埠,山东灰埠站,2.0,119.717644000000000,36.980961000000000,4.0,1.0,1.0,1.0,1.0,370200,青岛,YG1,山东高速集团,YG114,山东高速青岛发展有限公司,YG11401,山东高速青岛发展有限公司运营管理事业部,G001837,G18荣乌高速,G00183702,G18荣乌高速青岛段,K338+462,338.462
G0018370160020,010402,文登北,山东文登北站,4.0,122.058976000000000,37.249000000000000,9.0,2.0,1.0,3.0,3.0,371000,威海,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10116,威海运管中心,G001837,G18荣乌高速,G00183710,G18荣乌高速威海段,K062+000,62.000
G0018370160040,010404,威海南海,山东威海南海站,4.0,121.906772000000000,37.057118000000000,8.0,2.0,1.0,3.0,2.0,371000,威海,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10116,威海运管中心,G181337,G1813威青高速,G18133710,G1813威青高速威海段,K035+000,35.000
G0020370010010,040501,峡山,山东峡山站,2.0,119.471155000000000,36.631694000000000,8.0,2.0,1.0,2.0,3.0,370700,潍坊,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10112,青岛运管中心,G002037,G20青银高速,G00203707,G20青银高速潍坊段,K117+700,117.700
G0020370030010,040301,青州西,山东青州西站,2.0,118.500507000000000,36.813618000000000,9.0,2.0,1.0,4.0,2.0,370700,潍坊,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10111,潍坊运管中心,G002037,G20青银高速,G00203707,G20青银高速潍坊段,K209+000,209.000
G0020370050030,040203,淄博,山东淄博站,2.0,118.080375312254000,36.859663016635700,13.0,2.0,3.0,5.0,3.0,370300,淄博,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10110,淄博运管中心,G002037,G20青银高速,G00203703,G20青银高速淄博段,K247+609,247.609
G0020370050040,040204,临淄,山东临淄站,2.0,118.303476000000000,36.852767000000000,15.0,2.0,3.0,7.0,3.0,370300,淄博,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10110,淄博运管中心,G002037,G20青银高速,G00203703,G20青银高速淄博段,K228+178,228.178
G0022370050100,503010,黄岛东,山东黄岛东站,2.0,120.144596000000000,36.065488000000000,15.0,5.0,1.0,2.0,7.0,370200,青岛,YG1,山东高速集团,YG114,山东高速青岛发展有限公司,YG11402,山东高速青岛公路有限公司,S760137,S7601青岛前湾港区1号疏港高速,S76013702,S7601青岛前湾港区1号疏港高速,K006+000,6.000
G0022370070010,480101,岱岳,山东岱岳站,2.0,116.976755000000000,36.139716000000000,7.0,2.0,1.0,2.0,2.0,370900,泰安,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10105,泰东运管中心,G002237,G22青兰高速,G00223709,G22青兰高速泰安段,K370+897,370.897
G0025370020050,280105,临朐南,山东临朐南站,2.0,118.642441000000000,36.419392000000000,6.0,2.0,1.0,1.0,2.0,370700,潍坊,YG1,山东高速集团,YG118,山东高速潍坊发展有限公司,YG118  ,山东高速潍坊发展有限公司,G002537,G25长深高速,G00253707,G25长深高速潍坊段,K1456+750,1456.750
G0025370030050,280205,沂南东,山东沂南东站,2.0,118.647616000000000,35.505748000000000,6.0,2.0,1.0,1.0,2.0,371300,临沂,YG1,山东高速集团,YG113,山东高速临沂发展有限公司,YG113  ,山东高速临沂发展有限公司,G002537,G25长深高速,G00253713,G25长深高速临沂段,K1563+500,1563.500
G0025370040010,280301,河东,山东河东站,2.0,118.625349000000000,35.231787000000000,7.0,2.0,1.0,2.0,2.0,371300,临沂,YG1,山东高速集团,YG113,山东高速临沂发展有限公司,YG113  ,山东高速临沂发展有限公司,G002537,G25长深高速,G00253713,G25长深高速临沂段,K1594+260,1594.260
G0025370040020,280302,临沂东,山东临沂东站,2.0,118.604835000000000,35.123686000000000,12.0,2.0,2.0,5.0,3.0,371300,临沂,YG1,山东高速集团,YG113,山东高速临沂发展有限公司,YG113  ,山东高速临沂发展有限公司,G002537,G25长深高速,G00253713,G25长深高速临沂段,K1606+620,1606.620
G0025370050030,560103,广饶西,山东广饶西站,2.0,118.416652000000000,37.229425000000000,8.0,2.0,1.0,2.0,3.0,370500,东营,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10110,淄博运管中心,G002537,G25长深高速,G00253705,G25长深高速东营段,K1349+453,1349.453
G0035370030040,080404,菏泽,山东菏泽站,2.0,115.514152000000000,35.289899000000000,7.0,2.0,1.0,2.0,2.0,371700,菏泽,YG1,山东高速集团,YG109,山东高速菏泽发展有限公司,YG109  ,山东高速菏泽发展有限公司,G351137,G3511菏宝高速,G35113717,G3511菏宝高速,K009+256,9.256
G0035370030050,080405,菏泽西,山东菏泽西站,2.0,115.415442000000000,35.291170000000000,4.0,1.0,1.0,1.0,1.0,371700,菏泽,YG1,山东高速集团,YG109,山东高速菏泽发展有限公司,YG109  ,山东高速菏泽发展有限公司,G351137,G3511菏宝高速,G35113717,G3511菏宝高速,K018+657,18.657
G003W370040030,320103,莘县,山东莘县站,2.0,115.704521000000000,36.192226000000000,6.0,2.0,1.0,1.0,2.0,371500,聊城,YG1,山东高速集团,YG102,齐鲁高速公路股份有限公司,YG10202,德莘运管中心,G032137,G0321德上高速,G03213715,G0321德上高速聊城段,K179+107,179.107
G003W370040040,320104,莘县南,山东莘县南站,2.0,115.650244000000000,36.084786000000000,7.0,2.0,1.0,2.0,2.0,371500,聊城,YG1,山东高速集团,YG102,齐鲁高速公路股份有限公司,YG10202,德莘运管中心,G032137,G0321德上高速,G03213715,G0321德上高速聊城段,K192+573,192.573
G1511370010040,080104,莒县,山东莒县站,2.0,118.720179000000000,35.439990000000000,6.0,2.0,1.0,1.0,2.0,371100,日照,YG1,山东高速集团,YG115,山东高速日照发展有限公司,YG115  ,山东高速日照发展有限公司,G151137,G1511日兰高速,G15113711,G1511日兰高速日照段,K069+460,69.460
G1511370010050,080110,龙山,山东龙山站,2.0,119.019013000000000,35.494158000000000,9.0,2.0,1.0,4.0,2.0,371100,日照,YG1,山东高速集团,YG115,山东高速日照发展有限公司,YG115  ,山东高速日照发展有限公司,G151137,G1511日兰高速,G15113711,G1511日兰高速日照段,K041+820,41.820
G1511370020040,080204,平邑,山东平邑站,2.0,117.644299000000000,35.451490000000000,5.0,1.0,1.0,1.0,2.0,371300,临沂,YG1,山东高速集团,YG113,山东高速临沂发展有限公司,YG113  ,山东高速临沂发展有限公司,G151137,G1511日兰高速,G15113713,G1511日兰高速临沂段,K171+820,171.820
G1511370020050,080205,高里,山东高里站,2.0,118.397357000000000,35.388311000000000,8.0,2.0,1.0,3.0,2.0,371300,临沂,YG1,山东高速集团,YG113,山东高速临沂发展有限公司,YG113  ,山东高速临沂发展有限公司,G151137,G1511日兰高速,G15113713,G1511日兰高速临沂段,K100+000,100.000
G1511370030020,080302,泗水,山东泗水站,2.0,117.243066000000000,35.552624000000000,7.0,2.0,1.0,2.0,2.0,370800,济宁,YG1,山东高速集团,YG111,山东高速济宁发展有限公司,YG111  ,山东高速济宁发展有限公司,G151137,G1511日兰高速,G15113708,G1511日兰高速济宁段,K211+000,211.000
G1511370030090,080309,曲阜东,山东曲阜东站,2.0,117.088331000000000,35.545576000000000,8.0,2.0,1.0,3.0,2.0,370800,济宁,YG1,山东高速集团,YG111,山东高速济宁发展有限公司,YG111  ,山东高速济宁发展有限公司,G151137,G1511日兰高速,G15113708,G1511日兰高速济宁段,K225+275,225.275
G1511370040020,020802,曹县西,山东曹县西站,2.0,115.238305000000000,35.048379000000000,5.0,1.0,1.0,1.0,2.0,371700,菏泽,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10117,菏泽运管中心,G151137,G1511日兰高速,G15113717,G1511日兰高速菏泽段,K414+512,414.512
G1511370040040,020804,菏泽南,山东菏泽南站,2.0,115.507477000000000,35.151664000000000,8.0,2.0,1.0,3.0,2.0,371700,菏泽,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10117,菏泽运管中心,G151137,G1511日兰高速,G15113717,G1511日兰高速菏泽段,K387+199,387.199
G1813370010010,190301,乳山西,山东乳山西站,2.0,121.426217000000000,36.848016000000000,6.0,2.0,1.0,1.0,2.0,371000,威海,YG1,山东高速集团,YG117,山东高速威海发展有限公司,YG117  ,山东高速威海发展有限公司,G181337,G1813威青高速,G18133710,G1813威青高速威海段,K089+000,89.000
G1813370020010,190201,穴坊,山东穴坊站,2.0,120.741006000000000,36.627739000000000,4.0,1.0,1.0,1.0,1.0,370600,烟台,YG1,山东高速集团,YG119,山东高速烟台发展有限公司,YG119  ,山东高速烟台发展有限公司,G181337,G1813威青高速,G18133706,G1813威青高速烟台段,K156+000,156.000
G1813370020020,190202,羊郡,山东羊郡站,2.0,120.828494000000000,36.657473000000000,4.0,1.0,1.0,1.0,1.0,370600,烟台,YG1,山东高速集团,YG119,山东高速烟台发展有限公司,YG119  ,山东高速烟台发展有限公司,G181337,G1813威青高速,G18133706,G1813威青高速烟台段,K148+000,148.000
G1813370020030,190203,行村,山东行村站,2.0,120.910988000000000,36.673420000000000,4.0,1.0,1.0,1.0,1.0,370600,烟台,YG1,山东高速集团,YG119,山东高速烟台发展有限公司,YG119  ,山东高速烟台发展有限公司,G181337,G1813威青高速,G18133706,G1813威青高速烟台段,K140+300,140.300
G1813370030040,190104,店集,山东店集站,2.0,120.661495000000000,36.578725000000000,4.0,1.0,1.0,1.0,1.0,370200,青岛,YG1,山东高速集团,YG114,山东高速青岛发展有限公司,YG11401,山东高速青岛发展有限公司运营管理事业部,G181337,G1813威青高速,G18133702,G1813威青高速青岛段,K165+628,165.628
G1815370010090,470109,五莲,山东五莲站,2.0,119.287439000000000,35.743921000000000,6.0,2.0,1.0,1.0,2.0,371100,日照,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10114,潍日运管中心,G181537,G1815潍日高速,G18153711,G1815潍日高速日照段,K155+399,155.399
G2516370020040,390204,滨城北,山东滨城北站,2.0,117.988251000000000,37.504591000000000,10.0,2.0,2.0,4.0,2.0,371600,滨州,YG1,山东高速集团,YG106,山东高速滨州发展有限公司,YG106  ,山东高速滨州发展有限公司,G251637,G2516东吕高速,G25163716,G2516东吕高速滨州段,K055+826,55.826
S0001370010020,060202,齐河西,山东齐河西站,4.0,116.649643000000000,36.702437000000000,8.0,2.0,2.0,2.0,2.0,371400,德州,YG1,山东高速集团,YG107,山东高速德州发展有限公司,YG107  ,山东高速德州发展有限公司,S000137,S1济聊高速,S00013714,S1济聊高速德州段,K016+400,16.400
S0016370030040,600104,崖子,山东崖子站,2.0,121.292332000000000,37.084066000000000,6.0,2.0,1.0,1.0,2.0,371000,威海,YG1,山东高速集团,YG117,山东高速威海发展有限公司,YG117  ,山东高速威海发展有限公司,S001637,S16荣潍高速,S00163710,S16荣潍高速威海段,K100+396,100.396
S0016370040020,600202,发城,山东发城站,2.0,121.044024000000000,36.967963000000000,6.0,2.0,1.0,1.0,2.0,370600,烟台,YG1,山东高速集团,YG119,山东高速烟台发展有限公司,YG119  ,山东高速烟台发展有限公司,S001637,S16荣潍高速,S00163706,S16荣潍高速烟台段,K127+590,127.590
S0016370040060,600206,冯格庄,山东冯格庄站,2.0,120.586572000000000,36.928841000000000,7.0,2.0,1.0,1.0,3.0,370600,烟台,YG1,山东高速集团,YG119,山东高速烟台发展有限公司,YG119  ,山东高速烟台发展有限公司,S001637,S16荣潍高速,S00163702,S16荣潍高速青岛段,K173+207,173.207
S0023370010010,410101,潍日滨海,山东潍日滨海站,2.0,119.081184000000000,37.015132000000000,12.0,2.0,2.0,4.0,4.0,370700,潍坊,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10114,潍日运管中心,G181537,G1815潍日高速,G18153707,G1815潍日高速潍坊段,K001+008,1.008
S0023370010020,410102,潍日潍城,山东潍日潍城站,2.0,118.974691000000000,36.794876000000000,12.0,2.0,2.0,5.0,3.0,370700,潍坊,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10114,潍日运管中心,G181537,G1815潍日高速,G18153707,G1815潍日高速潍坊段,K027+055,27.055
S0029370040040,700104,白彦,山东白彦收费站,2.0,117.586881000000000,35.228533000000000,8.0,2.0,2.0,2.0,2.0,371300,临沂,YG1,山东高速集团,YG113,山东高速临沂发展有限公司,YG113  ,山东高速临沂发展有限公司,S002937,S29滨台高速,S00293713,S29滨台高速临沂段,K260+332,260.332
S0029370050020,700202,枣庄东,山东枣庄东收费站,2.0,117.609721000000000,34.889710000000000,11.0,2.0,2.0,4.0,3.0,370400,枣庄,YG1,山东高速集团,YG120,山东高速枣庄发展有限公司,YG120  ,山东高速枣庄发展有限公司,S002937,S29滨台高速,S00293704,S29滨台高速枣庄段,K303+604,303.604
S0030370010030,610103,楼德,山东楼德站,2.0,117.306003000000000,35.808435000000000,7.0,2.0,1.0,2.0,2.0,370900,泰安,YG1,山东高速集团,YG116,山东高速泰安发展有限公司,YG116  ,山东高速泰安发展有限公司,S003037,S30董梁高速,S00303709,S30董梁高速泰安段,K247+241,247.241
S0030370020040,620104,梁山北,山东梁山北站,2.0,116.094052000000000,35.838687000000000,10.0,2.0,2.0,3.0,3.0,370800,济宁,YG1,山东高速集团,YG111,山东高速济宁发展有限公司,YG111  ,山东高速济宁发展有限公司,S003037,S30董梁高速,S00303708,S30董梁高速济宁段,K360+453,360.453
S0033370010010,290101,东平南,山东东平南站,2.0,116.413809000000000,35.812156000000000,6.0,2.0,1.0,1.0,2.0,370900,泰安,YG1,山东高速集团,YG116,山东高速泰安发展有限公司,YG116  ,山东高速泰安发展有限公司,S003337,S33济徐高速,S00333709,S33济徐高速泰安段,K161+130,161.130
S0033370010020,290102,汶上西,山东汶上西站,2.0,116.417843000000000,35.731214000000000,7.0,2.0,1.0,2.0,2.0,370800,济宁,YG1,山东高速集团,YG111,山东高速济宁发展有限公司,YG111  ,山东高速济宁发展有限公司,S003337,S33济徐高速,S00333708,S33济徐高速济宁段,K170+400,170.400
S0038370010050,260105,峄城西,山东峄城西站,2.0,117.554421000000000,34.727045000000000,8.0,2.0,1.0,2.0,3.0,370400,枣庄,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10106,枣庄运管中心,S003837,S38岚菏高速,S00383704,S38岚菏高速枣庄段,K172+000,172.000
S0038370040040,660104,临沭西,山东临沭西收费站,2.0,118.597375000000000,34.965100000000000,7.0,2.0,1.0,2.0,2.0,371300,临沂,YG1,山东高速集团,YG113,山东高速临沂发展有限公司,YG113  ,山东高速临沂发展有限公司,S003837,S38岚菏高速,S00383713,S38岚菏高速临沂段,K067+200,67.200
S0085370010020,220102,海湾大桥,山东海湾大桥站,2.0,120.369400000000000,36.155403000000000,14.0,2.0,3.0,3.0,6.0,370200,青岛,YG1,山东高速集团,YG114,山东高速青岛发展有限公司,YG11402,山东高速青岛公路有限公司,S008537,S85青岛海湾大桥,S00853702,S85胶州湾大桥,K033+000,33.000
S0085370010040,220104,海湾大桥北,山东海湾大桥北站,4.0,120.365962000000000,36.164405000000000,8.0,4.0,1.0,1.0,2.0,370200,青岛,YG1,山东高速集团,YG114,山东高速青岛发展有限公司,YG11402,山东高速青岛公路有限公司,S008537,S85青岛海湾大桥,S00853702,S85胶州湾大桥,K33+510,33.510
S0085370020010,570101,胶州上合,山东胶州上合站,2.0,120.130052000000000,36.137036000000000,11.0,2.0,2.0,4.0,3.0,370200,青岛,YG1,山东高速集团,YG114,山东高速青岛发展有限公司,YG11402,山东高速青岛公路有限公司,S008537,S85青岛海湾大桥,S00853702,S85胶州湾大桥,K054+004,54.004
S0101370010020,650102,孙村东,山东孙村东收费站,2.0,117.360008000000000,36.680055000000000,13.0,2.0,3.0,6.0,2.0,370100,济南,YG1,山东高速集团,YG110,山东高速济南发展有限公司,YG110  ,山东高速济南发展有限公司,S010137,S0101济南绕城高速公路二环线东环段,S01013701,S0101济南市绕城二环高速,K015+230,15.230
S0029370060010,700301,台儿庄南,山东台儿庄南收费站,2.0,117.658516000000000,34.537445000000000,6.0,2.0,1.0,1.0,2.0,370400,枣庄,YG1,山东高速集团,YG120,山东高速枣庄发展有限公司,YG120  ,山东高速枣庄发展有限公司,S002937,S29滨台高速,S00293704,S29滨台高速枣庄段,K352+660,352.660
S0008370010020,720102,兖州北,山东兖州北站,2.0,116.735156,35.580897,6.0,2.0,1.0,1.0,2.0,370800,济宁,YG1,山东高速集团,YG111,山东高速济宁发展有限公司,YG111  ,山东高速济宁发展有限公司,S000837,S8济微高速,S00083708,S8济微高速济宁段,K093+929,93.929
S0006370040030,721203,章丘东,山东章丘东收费站,2.0,117.632675,36.663311,8.0,2.0,2.0,2.0,2.0,370100,济南,YG1,山东高速集团,YG110,山东高速济南发展有限公司,YG110  ,山东高速济南发展有限公司,S000637,S6济潍高速,S00063701,S6济潍高速济南段,K024+115,24.115
S0006370030010,721101,岭子,山东岭子收费站,2.0,117.743578,36.635579,6.0,2.0,1.0,1.0,2.0,370300,淄博,YG1,山东高速集团,YG121,山东高速淄博发展有限公司,YG121  ,山东高速淄博发展有限公司,S000637,S6济潍高速,S00063703,S6济潍高速淄博段,K035+193,35.193
S0006370030020,721102,淄川南,山东淄川南收费站,2.0,117.904393,36.615299,8.0,2.0,2.0,2.0,2.0,370300,淄博,YG1,山东高速集团,YG121,山东高速淄博发展有限公司,YG121  ,山东高速淄博发展有限公司,S000637,S6济潍高速,S00063703,S6济潍高速淄博段,K050+201,50.201
S0006370020080,721008,临朐北,山东临朐北收费站,2.0,118.556531,36.548516,8.0,2.0,2.0,2.0,2.0,370700,潍坊,YG1,山东高速集团,YG118,山东高速潍坊发展有限公司,YG118  ,山东高速潍坊发展有限公司,S000637,S6济潍高速,S00063707,S6济潍高速潍坊段,K115+100,115.100
S0006370020040,721004,马宋,山东马宋收费站,2.0,119.013312000000000,36.521791000000000,6.0,2.0,1.0,1.0,2.0,370700,潍坊,YG1,山东高速集团,YG118,山东高速潍坊发展有限公司,YG118  ,山东高速潍坊发展有限公司,S000637,S6济潍高速,S00063707,S6济潍高速潍坊段,K157+005,157.005
S0006370010010,720501,北海路,山东北海路收费站,2.0,119.159487000000000,36.554674000000000,12.0,2.0,4.0,4.0,2.0,370700,潍坊,YG1,山东高速集团,YG118,山东高速潍坊发展有限公司,YG118  ,山东高速潍坊发展有限公司,S000637,S6济潍高速,S00063707,S6济潍高速潍坊段,K171+319,171.319
S0027370010060,720706,博兴东,山东博兴东收费站,2.0,118.252422000000000,37.161753000000000,7.0,2.0,1.0,2.0,2.0,371600,滨州,YG1,山东高速集团,YG106,山东高速滨州发展有限公司,YG106  ,山东高速滨州发展有限公司,S002737,S27沾临高速,S00273716,S27沾临高速滨州段,K071+209,71.209
